onset	duration	nwb_table	treelevel
53.7039999961853	0.10000000000000142	epochs	0.0
53.7039999961853	0.045000000000001705	epochs	1.0
53.748999996185304	0.00999999999999801	epochs	1.0
53.7589999961853	0.045000000000001705	epochs	1.0
53.803999996185304	0.7049949999999967	epochs	0.0
53.803999996185304	0.5	epochs	-1.0
53.803999996185304	0.5	epochs	-1.0
53.803999996185304	0.5	epochs	1.0
54.303999996185304	0.05999999999999517	epochs	-1.0
54.303999996185304	0.02499999999999858	epochs	-1.0
54.303999996185304	0.02499999999999858	epochs	1.0
54.3289999961853	0.00999999999999801	epochs	-1.0
54.3289999961853	0.00999999999999801	epochs	1.0
54.3389999961853	0.02499999999999858	epochs	-1.0
54.3389999961853	0.02499999999999858	epochs	1.0
54.3639999961853	0.060000000000002274	epochs	-1.0
54.3639999961853	0.025000000000005684	epochs	-1.0
54.3639999961853	0.025000000000005684	epochs	1.0
54.388999996185305	0.00999999999999801	epochs	-1.0
54.388999996185305	0.00999999999999801	epochs	1.0
54.3989999961853	0.02499999999999858	epochs	-1.0
54.3989999961853	0.02499999999999858	epochs	1.0
54.4239999961853	0.060000000000002274	epochs	-1.0
54.4239999961853	0.02499999999999858	epochs	-1.0
54.4239999961853	0.02499999999999858	epochs	1.0
54.4489999961853	0.010000000000005116	epochs	-1.0
54.4489999961853	0.010000000000005116	epochs	1.0
54.458999996185305	0.02499999999999858	epochs	-1.0
54.458999996185305	0.02499999999999858	epochs	1.0
54.483999996185304	0.024994999999996992	epochs	1.0
802.445999622345	0.10000000000002274	epochs	0.0
802.445999622345	0.04499999999995907	epochs	1.0
802.4909996223449	0.009999999999990905	epochs	1.0
802.5009996223449	0.04500000000007276	epochs	1.0
802.545999622345	0.7049949999999399	epochs	0.0
802.545999622345	0.5	epochs	-1.0
802.545999622345	0.5	epochs	1.0
803.045999622345	0.05999999999994543	epochs	-1.0
803.045999622345	0.024999999999977263	epochs	-1.0
803.045999622345	0.024999999999977263	epochs	1.0
803.070999622345	0.009999999999990905	epochs	-1.0
803.070999622345	0.009999999999990905	epochs	1.0
803.080999622345	0.024999999999977263	epochs	-1.0
803.080999622345	0.024999999999977263	epochs	1.0
803.1059996223449	0.06000000000005912	epochs	-1.0
803.1059996223449	0.024999999999977263	epochs	-1.0
803.1059996223449	0.024999999999977263	epochs	1.0
803.1309996223449	0.010000000000104592	epochs	-1.0
803.1309996223449	0.010000000000104592	epochs	1.0
803.140999622345	0.024999999999977263	epochs	-1.0
803.140999622345	0.024999999999977263	epochs	1.0
803.165999622345	0.05999999999994543	epochs	-1.0
803.165999622345	0.024999999999977263	epochs	-1.0
803.165999622345	0.024999999999977263	epochs	1.0
803.190999622345	0.009999999999990905	epochs	-1.0
803.190999622345	0.009999999999990905	epochs	1.0
803.200999622345	0.024999999999977263	epochs	-1.0
803.200999622345	0.024999999999977263	epochs	1.0
803.225999622345	0.024994999999989886	epochs	1.0
899.96399974823	0.10000000000002274	epochs	0.0
899.96399974823	0.04499999999995907	epochs	1.0
900.0089997482299	0.009999999999990905	epochs	1.0
900.0189997482299	0.04500000000007276	epochs	1.0
900.06399974823	61.384995	epochs	0.0
900.06399974823	0.5	epochs	-1.0
900.06399974823	0.5	epochs	-1.0
900.06399974823	0.5	epochs	1.0
900.56399974823	0.05999999999994543	epochs	-1.0
900.56399974823	0.024999999999977263	epochs	-1.0
900.56399974823	0.024999999999977263	epochs	1.0
900.58899974823	0.009999999999990905	epochs	-1.0
900.58899974823	0.009999999999990905	epochs	1.0
900.59899974823	0.024999999999977263	epochs	-1.0
900.59899974823	0.024999999999977263	epochs	1.0
900.62399974823	0.06000000000005912	epochs	-1.0
900.62399974823	0.024999999999977263	epochs	-1.0
900.62399974823	0.024999999999977263	epochs	1.0
900.6489997482299	0.010000000000104592	epochs	-1.0
900.6489997482299	0.010000000000104592	epochs	1.0
900.65899974823	0.024999999999977263	epochs	-1.0
900.65899974823	0.024999999999977263	epochs	1.0
900.68399974823	0.05999999999994543	epochs	-1.0
900.68399974823	0.024999999999977263	epochs	-1.0
900.68399974823	0.024999999999977263	epochs	1.0
900.70899974823	0.009999999999990905	epochs	-1.0
900.70899974823	0.009999999999990905	epochs	1.0
900.71899974823	0.024999999999977263	epochs	-1.0
900.71899974823	0.024999999999977263	epochs	1.0
900.74399974823	60.0	epochs	1.0
960.74399974823	0.5	epochs	-1.0
960.74399974823	0.5	epochs	-1.0
960.74399974823	0.5	epochs	1.0
961.24399974823	0.06000000000005912	epochs	-1.0
961.24399974823	0.024999999999977263	epochs	-1.0
961.24399974823	0.024999999999977263	epochs	1.0
961.2689997482299	0.010000000000104592	epochs	-1.0
961.2689997482299	0.010000000000104592	epochs	1.0
961.27899974823	0.024999999999977263	epochs	-1.0
961.27899974823	0.024999999999977263	epochs	1.0
961.30399974823	0.05999999999994543	epochs	-1.0
961.30399974823	0.024999999999977263	epochs	-1.0
961.30399974823	0.024999999999977263	epochs	1.0
961.32899974823	0.009999999999990905	epochs	-1.0
961.32899974823	0.009999999999990905	epochs	1.0
961.33899974823	0.024999999999977263	epochs	-1.0
961.33899974823	0.024999999999977263	epochs	1.0
961.36399974823	0.06000000000005912	epochs	-1.0
961.36399974823	0.024999999999977263	epochs	-1.0
961.36399974823	0.024999999999977263	epochs	1.0
961.3889997482299	0.009999999999990905	epochs	-1.0
961.3889997482299	0.009999999999990905	epochs	1.0
961.3989997482299	0.02500000000009095	epochs	-1.0
961.3989997482299	0.02500000000009095	epochs	1.0
961.42399974823	0.024994999999989886	epochs	1.0
982.0679998397827	0.10000000000002274	epochs	0.0
982.0679998397827	0.04499999999995907	epochs	1.0
982.1129998397827	0.009999999999990905	epochs	1.0
982.1229998397827	0.04500000000007276	epochs	1.0
982.1679998397827	0.7049949999999399	epochs	0.0
982.1679998397827	0.5	epochs	-1.0
982.1679998397827	0.5	epochs	-1.0
982.1679998397827	0.5	epochs	1.0
982.6679998397827	0.05999999999994543	epochs	-1.0
982.6679998397827	0.024999999999977263	epochs	-1.0
982.6679998397827	0.024999999999977263	epochs	1.0
982.6929998397827	0.009999999999990905	epochs	-1.0
982.6929998397827	0.009999999999990905	epochs	1.0
982.7029998397827	0.024999999999977263	epochs	-1.0
982.7029998397827	0.024999999999977263	epochs	1.0
982.7279998397827	0.06000000000005912	epochs	-1.0
982.7279998397827	0.024999999999977263	epochs	-1.0
982.7279998397827	0.024999999999977263	epochs	1.0
982.7529998397827	0.010000000000104592	epochs	-1.0
982.7529998397827	0.010000000000104592	epochs	1.0
982.7629998397828	0.024999999999977263	epochs	-1.0
982.7629998397828	0.024999999999977263	epochs	1.0
